구분별,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,검역,전국거리두기,수도권거리두기,전체
2020. 05. 26,9,0,1,3,0,0,0,0,2,0,1,0,0,0,1,0,0,2,1,1,19
2020. 05. 27,19,0,3,11,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,1,40
2020. 05. 28,24,1,2,22,0,0,0,0,21,0,0,1,0,0,1,0,0,7,1,1,79
2020. 05. 29,20,0,0,18,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,1,58
2020. 05. 30,9,1,2,5,2,0,0,0,13,1,0,0,0,1,0,0,0,5,1,1,39
2020. 05. 31,6,1,1,3,0,1,2,0,12,0,0,0,0,0,0,0,1,0,1,1,27
2020. 06. 01,1,0,1,18,0,0,0,0,12,0,0,0,0,1,0,0,0,2,1,1,35
2020. 06. 02,14,0,0,8,0,0,0,0,15,0,0,0,0,0,0,0,0,1,1,1,38
2020. 06. 03,19,0,1,17,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,49
2020. 06. 04,14,0,0,7,0,0,0,0,15,0,0,0,0,0,1,0,0,2,1,1,39
2020. 06. 05,15,0,1,6,0,0,0,0,13,0,0,1,0,0,2,0,0,1,1,1,39
2020. 06. 06,23,0,0,11,0,0,0,0,8,1,0,1,0,0,1,1,0,5,1,1,51
2020. 06. 07,27,0,1,6,0,0,1,0,19,0,1,0,0,0,0,0,0,2,1,1,57
2020. 06. 08,22,0,1,4,0,0,0,0,8,0,0,0,0,0,0,0,0,3,1,1,38
2020. 06. 09,19,0,0,3,0,0,0,0,13,0,0,2,0,0,0,1,0,0,1,1,38
2020. 06. 10,12,0,0,8,0,0,0,0,21,1,0,0,0,0,0,2,0,6,1,1,50
2020. 06. 11,21,0,0,6,0,0,0,0,16,0,0,0,0,0,0,0,0,2,1,1,45
2020. 06. 12,25,0,1,1,0,0,0,0,19,0,0,0,0,0,0,0,0,10,1,1,56
2020. 06. 13,29,0,3,1,0,0,0,0,14,0,0,1,0,0,0,0,0,1,1,1,48
2020. 06. 14,12,0,2,8,0,0,0,0,10,1,0,0,0,0,0,0,0,1,1,1,34
2020. 06. 15,7,0,0,8,0,0,0,0,10,0,0,2,0,0,0,3,0,7,1,1,36
2020. 06. 16,12,1,0,2,0,3,0,0,5,0,0,0,0,0,0,2,0,9,1,1,34
2020. 06. 17,13,0,1,2,0,5,0,0,13,0,0,1,0,0,0,0,1,7,1,1,43
2020. 06. 18,25,0,1,1,0,7,0,1,16,0,0,3,1,0,0,0,0,4,1,1,59
2020. 06. 19,18,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,3,11,1,1,49
2020. 06. 20,14,2,2,5,0,5,0,0,17,0,0,2,1,0,1,0,0,18,1,1,67
2020. 06. 21,17,0,1,0,1,10,0,1,10,2,0,1,0,0,0,1,0,4,1,1,48
2020. 06. 22,5,0,1,1,0,0,0,0,6,0,0,2,1,0,1,0,0,0,1,1,17
2020. 06. 23,6,0,1,1,0,4,0,0,7,0,1,0,0,0,0,0,0,26,1,1,46
2020. 06. 24,11,2,2,3,0,8,2,0,7,1,0,1,1,0,1,0,0,12,1,1,51
2020. 06. 25,9,0,0,1,0,4,0,0,9,0,0,1,0,0,0,0,0,4,1,1,28
2020. 06. 26,17,0,0,2,0,4,0,0,4,1,0,3,0,0,1,0,0,7,1,1,39
2020. 06. 27,17,0,1,1,0,2,0,0,17,0,1,0,1,0,0,0,0,11,1,1,51
2020. 06. 28,14,0,0,0,4,6,0,0,17,0,1,1,0,3,0,0,0,16,1,1,62
2020. 06. 29,7,1,2,1,4,2,0,0,16,0,0,0,1,1,1,1,0,5,1,1,42
2020. 06. 30,7,1,0,3,3,5,0,1,7,1,1,0,0,0,1,0,0,13,1,1,43
2020. 07. 01,9,0,1,2,12,4,0,0,16,0,0,1,0,1,0,0,0,5,1,1,50
2020. 07. 02,13,0,3,0,22,1,0,0,10,0,0,3,0,0,0,0,0,2,1,1,54
2020. 07. 03,12,0,13,1,6,4,0,0,18,0,0,1,1,0,1,2,0,4,1,1,63
2020. 07. 04,7,1,1,2,8,3,0,0,19,0,2,0,0,0,1,1,0,18,1,1,63
2020. 07. 05,16,0,0,0,16,8,0,0,8,1,0,0,1,0,1,0,1,9,1,1,61
2020. 07. 06,3,1,2,6,7,2,0,0,6,1,0,1,0,2,1,1,0,15,1,1,46
2020. 07. 07,3,0,1,2,6,2,0,0,13,0,0,0,1,0,0,0,0,16,1,1,44
2020. 07. 08,10,0,1,1,8,2,0,0,18,0,0,6,2,1,1,2,0,11,1,1,63
